Roll (deg),Pitch (deg),Yaw (deg),Throttle,Altitude (m),Distance to Target (m),Yaw Angle to Target (deg),Pitch Angle to Target (deg)
29.377878,0.44827148,112.84107,0.0,177.35625,496.7359,-107.2829,45.0
31.076683,0.65045327,115.571236,0.0,175.28752,503.0688,-106.87707,45.0
32.889385,0.7958864,118.23012,0.0,173.29834,509.26157,-106.45785,45.0
34.734364,0.8990996,120.82017,0.0,171.37332,515.30035,-106.02538,45.0
36.544857,0.96481174,123.36243,0.0,169.49733,521.17224,-105.58028,45.0
38.274,0.9862139,125.886116,0.0,167.65585,526.86566,-105.1234,45.0
39.89532,0.94772965,128.42093,0.0,165.83513,532.37024,-104.65571,45.0
41.400192,0.83006865,130.99281,0.0,164.02219,537.677,-104.17819,45.0
42.79357,0.61505234,133.62193,0.0,162.2048,542.77783,-103.69172,45.0
44.089138,0.28886247,136.32222,0.0,160.37144,547.66565,-103.1971,45.0
45.304707,-0.15647382,139.10168,0.0,158.51114,552.3339,-102.69499,45.0
46.458405,-0.72296345,141.9631,0.0,156.61336,556.7766,-102.18597,45.0
47.56594,-1.4073681,144.9052,0.0,154.66805,560.9878,-101.67051,45.0
48.638977,-2.2023304,147.9239,0.0,152.66551,564.9616,-101.148994,45.0
49.684452,-3.0976071,151.01369,0.0,150.59645,568.69214,-100.621796,45.0
50.704697,-4.0812306,154.1688,0.0,148.45193,572.1733,-100.08925,45.0
51.698017,-5.140502,157.38419,0.0,146.22346,575.3987,-99.55174,45.0
52.65962,-6.262775,160.65617,0.0,143.90305,578.3619,-99.00968,45.0
53.582596,-7.4360156,163.98277,0.0,141.48312,581.05597,-98.46353,45.0
54.45889,-8.649139,167.36368,0.0,138.9568,583.474,-97.91382,45.0
55.2801,-9.891905,170.80034,0.0,136.3178,585.60864,-97.36117,45.0
56.038265,-11.154991,174.29556,0.0,133.56053,587.45264,-96.80625,45.0
56.726284,-12.430147,177.85266,0.0,130.68004,588.99835,-96.24983,45.0
57.33763,-13.710067,-178.52489,0.0,127.67211,590.23834,-89.40955,45.0
57.863365,-14.988567,-174.83342,0.0,124.53325,591.16504,-88.8527,45.0
58.272133,-16.263577,-171.06696,0.0,121.260826,591.77124,-88.29709,45.0
58.4914,-17.539515,-167.21616,0.0,117.8532,592.04987,-87.74387,45.0
58.49694,-18.814926,-163.2762,0.0,114.309654,591.9944,-87.194214,45.0
58.36261,-20.071354,-159.25339,0.0,110.63032,591.5985,-86.649124,45.0
58.162003,-21.283257,-155.15823,0.0,106.81615,590.85657,-86.109665,45.0
57.92308,-22.42769,-151.00064,0.0,102.868835,589.7633,-85.576996,45.0
57.59667,-23.502918,-146.7787,0.0,98.79128,588.3145,-85.05261,45.0
