Target Latitude: 37.65287164471307, Target Longitude: -122.3470333166501, Target Altitude: 300m
Step	Latitude	Longitude	Altitude	Heading	Roll	Pitch
10	37.619068495832465	-122.37500016603937	304.7838083312279	0.010723352432250977	-0.07510042190551758	-0.04144752025604248
20	37.61913666999766	-122.37500064088881	304.6138203567634	0.0624995231628418	-0.26267051696777344	-0.1373279094696045
30	37.61920446304452	-122.37500107569949	304.1252363929891	0.15105295181274414	-0.477679967880249	-0.20365667343139648
40	37.619271817128165	-122.37500125537284	303.3206317598559	0.2384953498840332	-0.5524594783782959	-0.2125413417816162
50	37.619338671605476	-122.37500110119204	302.22545263091547	0.3032219409942627	-0.5156605243682861	-0.19083094596862793
60	37.61940495866185	-122.3750004894655	300.8580859155145	0.35402488708496094	-0.4514145851135254	-0.1763007640838623
70	37.619470609033584	-122.37499926444364	299.2227289080045	0.39601564407348633	-0.40189290046691895	-0.19199812412261963
80	37.61953556768854	-122.3749973581702	297.31766674271915	0.4265553951263428	-0.373354434967041	-0.2365708351135254
90	37.619599794366295	-122.37499478357586	295.1390235243393	0.4425337314605713	-0.36597728729248047	-0.2951514720916748
100	37.6196632641835	-122.37499154416086	292.68271558452545	0.442943811416626	-0.38776087760925293	-0.35375213623046875
110	37.619725994383074	-122.37498765534065	289.95364473467305	0.42902064323425293	-0.4556615352630615	-0.40245521068573
120	37.619788023741826	-122.37498318969725	286.95965268414	0.403822660446167	-0.5696225166320801	-0.43476736545562744
130	37.61984941516453	-122.37497825795758	283.7089154112828	0.37323474884033203	-0.7099804878234863	-0.45373642444610596
140	37.619910255818894	-122.37497293225805	280.203508951306	0.3508169651031494	-0.873023509979248	-0.46896445751190186
150	37.6199706269827	-122.37496721785338	276.440764340862	0.3476226329803467	-1.0294950008392334	-0.48168671131134033
160	37.62003057686991	-122.37496109845956	272.4182546275022	0.3629934787750244	-1.0410873889923096	-0.4918860197067261
170	37.62009010963286	-122.37495452768144	268.1356167050642	0.39643216133117676	-0.9665448665618896	-0.5110011100769043
180	37.620149195450786	-122.37494739379834	263.5940406691869	0.442702054977417	-0.899423360824585	-0.5439754724502563
190	37.620207791740704	-122.37493959656638	258.79425178154503	0.4907360076904297	-0.8569667339324951	-0.5863805413246155
200	37.62026586580298	-122.37493106708821	253.7378992869647	0.5310375690460205	-0.8959882259368896	-0.6267701387405396
210	37.62032344172137	-122.37492174529015	248.43214947104215	0.5507781505584717	-1.0238215923309326	-0.6476867198944092
220	37.6203806294889	-122.37491162315237	242.89259783478064	0.539961576461792	-1.0247087478637695	-0.6593213081359863
230	37.62043741913671	-122.37490084880395	237.1198327278413	0.531235933303833	-0.9523355960845947	-0.6839241981506348
240	37.620493699664884	-122.37488946052945	231.10488882576695	0.5445928573608398	-0.923656702041626	-0.7254467010498047
250	37.620549384681986	-122.37487744199971	224.84083419175445	0.5706098079681396	-1.018240213394165	-0.7647778987884521
260	37.620604530641984	-122.37486470855781	218.33460725099505	0.5803654193878174	-1.1781740188598633	-0.7819541096687317
270	37.620659284561526	-122.37485125570392	211.60037338255896	0.5636653900146484	-1.1912736892700195	-0.7942854166030884
280	37.62071363134176	-122.37483719493697	204.6378090626578	0.5546755790710449	-1.1823350191116333	-0.8159649968147278
290	37.62076750066573	-122.37482251713512	197.44363746431415	0.5638773441314697	-1.2292526960372925	-0.8434529304504395
300	37.62082086534032	-122.37480720445518	190.01716597179893	0.5774774551391602	-1.3013499975204468	-0.8678086400032043
310	37.620873739136094	-122.37479127291203	182.36059509197258	0.5854182243347168	-1.3494858741760254	-0.8881956934928894
320	37.62092612286109	-122.37477475287626	174.47582494828478	0.5913796424865723	-1.3846275806427002	-0.907056450843811
330	37.62097800363926	-122.37475765145525	166.3645773322056	0.6004819869995117	-1.4239251613616943	-0.9248312711715698
340	37.621029370174845	-122.37473996001418	158.02906606097127	0.6127104759216309	-1.4674345254898071	-0.9411607384681702
350	37.62108021820527	-122.37472166778035	149.4721546258002	0.6259655952453613	-1.5107587575912476	-0.9562526941299438
360	37.62113054804178	-122.37470276467016	140.69704915224912	0.639406681060791	-1.5534591674804688	-0.9708269238471985
370	37.6211803615231	-122.37468323931526	131.70690110278997	0.6534979343414307	-1.5978554487228394	-0.9855435490608215
380	37.62122966113701	-122.37466307901285	122.5045288637824	0.6688601970672607	-1.6459341049194336	-1.0007901191711426
390	37.621278450448216	-122.37464227054247	113.09216936982115	0.6860549449920654	-1.6990418434143066	-1.0167183876037598
400	37.62132673457827	-122.37462080017204	103.47138431878973	0.7056667804718018	-1.7584807872772217	-1.0333048105239868
