Roll (deg),Pitch (deg),Yaw (deg),Altitude Deviation (m),Yaw Angle to Target (deg),Pitch Angle to Target (deg),Velocity X-Axis,Altitude_change,Pitch Rate [deg/s],Yaw Rate [deg/s],Roll Rate [deg/s]
-29.880041,-11.072618,17.048656,2.347412,16.381538,-0.030093811,141.32715,-23.740463,23.809765,-2.245001,20.735933
-29.54517,-10.933807,17.373337,2.2254486,16.06205,-0.028536528,141.10693,-24.27478,24.590673,-2.1614816,20.225965
-29.195124,-10.799868,17.690462,2.1007843,15.750129,-0.026938265,140.88452,-24.80687,25.19479,-2.2014246,19.689686
-28.833,-10.672778,18.000648,1.9734192,15.44512,-0.025312679,140.65967,-25.337082,25.627851,-2.359229,19.128872
-28.46182,-10.554438,18.304483,1.8433685,15.146449,-0.023646114,140.4331,-25.865723,25.897617,-2.6283386,18.545275
-28.084494,-10.446603,18.602428,1.7106323,14.853694,-0.021945396,140.20483,-26.393097,26.00138,-3.0012941,17.940638
-27.703928,-10.350919,18.894897,1.5752106,14.566375,-0.020210529,139.97583,-26.919556,25.895212,-3.4698453,17.317152
-27.323774,-10.2688675,19.18223,1.4371338,14.284206,-0.01844151,139.74634,-27.445343,25.60135,-4.025331,16.676725
-26.947268,-10.201796,19.464659,1.2963715,14.006901,-0.01663834,139.51685,-27.97078,25.152088,-4.6579156,16.021082
-26.577139,-10.150869,19.742414,1.1529388,13.734307,-0.014801019,139.28857,-28.496094,24.579063,-5.357272,15.35186
-26.215534,-10.117094,20.015541,1.0068512,13.466305,-0.012922717,139.06226,-29.02156,23.911945,-6.112855,14.670563
-25.86415,-10.101289,20.28413,0.85809326,13.202824,-0.011017094,138.83838,-29.547379,23.177454,-6.9141455,13.978555
-25.52417,-10.10411,20.548117,0.7066498,12.943959,-0.009077321,138.61792,-30.07373,22.398975,-7.7508707,13.277204
-25.196388,-10.126062,20.807446,0.552536,12.689698,-0.0070965663,138.40186,-30.600769,21.596237,-8.613032,12.5675745
-24.881298,-10.16746,21.061953,0.3957367,12.440301,-0.0050816606,138.19116,-31.128662,20.785221,-9.491121,11.850897
-24.579048,-10.228501,21.311487,0.23626709,12.195848,-0.0030326038,137.98633,-31.657486,19.978302,-10.3762865,11.128154
-24.289627,-10.309227,21.555775,0.07409668,11.956628,-0.0009493962,137.78784,-32.187332,19.184278,-11.2602215,10.400437
-24.01284,-10.409542,21.794626,-0.09075928,11.722844,0.0011679623,137.59766,-32.718277,18.408916,-12.135333,9.668706
-23.748375,-10.529235,22.02774,-0.25831604,11.494784,0.0033126415,137.41504,-33.250366,17.655327,-12.994762,8.933778
-23.49589,-10.667996,22.254805,-0.42858887,11.272749,0.0055119623,137.24121,-33.783997,16.90775,-13.83116,8.201991
-23.255262,-10.825357,22.475624,-0.6015625,11.056942,0.0077386037,137.07568,-34.31952,16.144928,-14.637587,7.481215
-23.026766,-11.000682,22.690023,-0.77726746,10.847555,0.009985736,136.91943,-34.85669,15.374947,-15.409261,6.7714763
-22.810522,-11.193273,22.897867,-0.95570374,10.644727,0.01228751,136.7727,-35.395416,14.608244,-16.141785,6.072639
-22.60645,-11.402365,23.098988,-1.1368866,10.448605,0.014623434,136.63452,-35.924576,13.849028,-16.829967,5.384675
-22.414398,-11.627126,23.293198,-1.3207092,10.25938,0.01698668,136.50586,-36.450638,13.099619,-17.462606,4.7073936
-22.23415,-11.866551,23.480223,-1.5072174,10.077315,0.019384075,136.3872,-36.97499,12.358817,-18.03883,4.0406575
-22.065498,-12.11961,23.659897,-1.6963654,9.902626,0.021836113,136.27881,-37.498978,11.624981,-18.55869,3.3843586
-21.908255,-12.385304,23.831894,-1.8881989,9.735559,0.024288151,136.18115,-38.023727,10.894971,-19.022486,2.7383866
-21.762266,-12.662617,23.996092,-2.0826874,9.576307,0.02680166,136.09375,-38.550278,10.163949,-19.430904,2.1027691
-21.62748,-12.950563,24.152258,-2.2798615,9.425073,0.029342491,136.01782,-39.079514,9.426535,-19.785172,1.4774518
-21.503906,-13.248176,24.300213,-2.4797363,9.282035,0.031931132,135.95215,-39.612244,8.677181,-20.086792,0.8624616
-21.391632,-13.55451,24.439823,-2.6823273,9.147358,0.034533434,135.8982,-40.14917,7.910233,-20.337954,0.25782597
-21.290873,-13.868657,24.570908,-2.8876648,9.021163,0.03718355,135.85547,-40.690857,7.120554,-20.540754,-0.33637315
-21.201889,-14.189758,24.693386,-3.0957642,8.903561,0.03986781,135.82397,-41.237854,6.303499,-20.697302,-0.9200538
-21.125036,-14.516979,24.807177,-3.3066406,8.794661,0.04259306,135.80371,-41.788803,5.4547253,-20.809618,-1.4930793
-21.060738,-14.849521,24.912212,-3.52034,8.694503,0.045352455,135.79395,-42.33777,4.569533,-20.8777,-2.055313
-21.00951,-15.186577,25.008423,-3.7368164,8.603128,0.04815283,135.79517,-42.88681,3.6452718,-20.89811,-2.606564
-20.971876,-15.527321,25.09574,-3.95607,8.520674,0.0509737,135.80688,-43.435776,2.6797562,-20.871828,-3.14675
-20.948421,-15.87092,25.174122,-4.178116,8.447113,0.05383555,135.8291,-43.98456,1.6725767,-20.799837,-3.675707
-20.93972,-16.216568,25.24353,-4.402954,8.382526,0.05675887,135.86182,-44.533066,0.6236782,-20.683342,-4.193299
-20.946373,-16.563496,25.303938,-4.6305695,8.326957,0.05968219,135.90503,-45.081207,-0.46699366,-20.523598,-4.6994157
-20.968952,-16.910933,25.355314,-4.860977,8.280361,0.06268064,135.95825,-45.628876,-1.5995482,-20.321943,-5.1939216
-21.008049,-17.25816,25.397661,-5.094162,8.242767,0.065679096,136.02173,-46.175964,-2.7744772,-20.079826,-5.676679
-21.064276,-17.604477,25.431034,-5.330124,8.214217,0.06873902,136.09497,-46.722397,-3.992737,-19.798723,-6.1475797
-21.13826,-17.949211,25.455402,-5.568863,8.194601,0.071826264,136.17822,-47.268066,-5.2559395,-19.480217,-6.6064863
-21.230658,-18.291718,25.47084,-5.810364,8.183932,0.074954495,136.271,-47.81288,-6.566735,-19.125895,-7.0532627
-21.342169,-18.631409,25.477356,-6.0546417,8.182157,0.07810321,136.37329,-48.356766,-7.928729,-18.737366,-7.487745
-21.473553,-18.967693,25.47502,-6.3016663,8.1892185,0.081313394,136.4851,-48.899612,-9.346813,-18.316217,-7.909741
-21.625702,-19.300043,25.463928,-6.5514526,8.205024,0.08454408,136.60596,-49.441345,-10.827461,-17.86403,-8.319034
-21.799559,-19.627934,25.444147,-6.8039856,8.229558,0.08781574,136.73584,-49.981888,-12.378734,-17.38234,-8.715403
-21.996254,-19.950907,25.415707,-7.059265,8.262657,0.09112155,136.87451,-50.521133,-14.010602,-16.872505,-9.098522
-22.21706,-20.268503,25.378809,-7.3172913,8.304267,0.09446834,137.02197,-51.05902,-15.735389,-16.335844,-9.468035
-22.463507,-20.580309,25.333485,-7.5780334,8.354263,0.09784929,137.17773,-51.59546,-17.567875,-15.773392,-9.823533
-22.73733,-20.885918,25.27991,-7.8414917,8.412539,0.10127121,137.3418,-52.13037,-19.525953,-15.186023,-10.164469
-23.04059,-21.18497,25.21815,-8.107666,8.478928,0.104713626,137.51343,-52.664,-21.648748,-14.573164,-10.484531
-23.376062,-21.477057,25.148495,-8.376556,8.553241,0.10819702,137.69238,-53.196457,-23.979017,-13.933858,-10.776835
-23.747242,-21.761719,25.071247,-8.648148,8.63512,0.1117214,137.87793,-53.7276,-26.372288,-13.268188,-11.041219
-24.155264,-22.038513,24.986757,-8.922424,8.724241,0.115293585,138.07007,-54.257416,-28.572483,-12.576208,-11.279046
-24.596945,-22.307007,24.895273,-9.199402,8.820342,0.118872605,138.26831,-54.785812,-30.600285,-11.859585,-11.490918
-25.069456,-22.566814,24.79704,-9.47905,8.923177,0.122499436,138.47217,-55.312683,-32.68934,-11.122962,-11.67883
-25.573853,-22.817633,24.692266,-9.761368,9.032542,0.12617408,138.68091,-55.837585,-34.61884,-10.35555,-11.842537
-26.107481,-23.058983,24.58107,-10.046356,9.148355,0.12986921,138.8938,-56.36058,-36.405533,-9.559368,-11.982747
-26.667967,-23.290459,24.463482,-10.333984,9.270493,0.13361898,139.11157,-56.88156,-38.06445,-8.739937,-12.100225
-27.253149,-23.511717,24.339582,-10.624268,9.398954,0.13738242,139.33325,-57.40045,-39.608894,-7.9028563,-12.19563
-27.861147,-23.722517,24.209427,-10.917175,9.533687,0.14119366,139.55933,-57.917297,-41.050884,-7.0572515,-12.269205
-28.490248,-23.922743,24.073082,-11.2127075,9.674553,0.14503223,139.78906,-58.432037,-42.401073,-6.2099257,-12.321387
-29.138966,-24.11239,23.930714,-11.510849,9.82147,0.14890495,140.02295,-58.944763,-43.66895,-5.3698125,-12.35226
-29.806015,-24.291588,23.7825,-11.811584,9.974207,0.15281865,140.26025,-59.455566,-44.863003,-4.5451627,-12.361986
-30.490223,-24.460566,23.62867,-12.114914,10.132571,0.15676649,140.50122,-59.964493,-45.99075,-3.7435172,-12.350676
-31.190645,-24.619648,23.46954,-12.420822,10.296209,0.16074166,140.74585,-60.471832,-47.058853,-2.978782,-12.31759
-31.906435,-24.769365,23.305588,-12.729294,10.464669,0.16476464,140.99341,-60.977753,-48.0733,-2.2603555,-12.262484
-32.636963,-24.910334,23.137333,-13.040344,10.637432,0.16880812,141.24414,-61.48242,-49.03928,-1.596379,-12.185002
-33.381687,-25.04327,22.965458,-13.353958,10.813787,0.17289257,141.49731,-61.986053,-49.96152,-0.9920713,-12.085091
-34.14022,-25.168938,22.790688,-13.67012,10.993038,0.17700434,141.75244,-62.488754,-50.84409,-0.44972694,-11.962939
-34.91221,-25.28811,22.613785,-13.988846,11.17438,0.1811571,142.00903,-62.99063,-51.69054,0.03253902,-11.819096
-35.697407,-25.401506,22.435558,-14.310104,11.357074,0.18534401,142.2666,-63.49185,-52.504044,0.4544261,-11.653914
-36.495625,-25.509806,22.256826,-14.633911,11.540274,0.18956506,142.52441,-63.99257,-53.287247,0.81404924,-11.4674225
-37.306725,-25.613707,22.07838,-14.960266,11.723159,0.19381344,142.78223,-64.49295,-54.04253,1.110698,-11.259757
-38.13065,-25.713865,21.90111,-15.289169,11.904869,0.19810963,143.03955,-64.993164,-54.771885,1.3454379,-11.031247
-38.96736,-25.810894,21.725956,-15.620605,12.084462,0.20241947,143.29517,-65.493,-55.47709,1.531984,-10.783639
